Events,Location,Date,R_fighter,B_fighter,Winner,R_odds,B_odds,Favorite,Who_won
UFC 251,Yas Island,2020-07-11,Kamaru Usman,Jorge Masvidal,Kamaru Usman,-208,231,Kamaru Usman,favorite
UFC 251,Yas Island,2020-07-11,Alex Volkanovski,Max Holloway,Alex Volkanovski,-200,194,Alex Volkanovski,favorite
UFC 251,Yas Island,2020-07-11,Petr Yan,Jose Aldo,Petr Yan,-204,200,Petr Yan,favorite
UFC 251,Yas Island,2020-07-11,Rose Namajunas,Jessica Andrade,Rose Namajunas,-189,186,Rose Namajunas,favorite
UFC 251,Yas Island,2020-07-11,Paige VanZant,Amanda Ribas,Amanda Ribas,675,-588,Amanda Ribas,favorite
UFC 251,Yas Island,2020-07-11,Volkan Oezdemir,Jiri Prochazka,Jiri Prochazka,-147,135,Volkan Oezdemir,underdog
UFC 251,Yas Island,2020-07-11,Elizeu Zaleski dos Santos,Muslim Salikhov,Muslim Salikhov,118,-123,Muslim Salikhov,favorite
UFC 251,Yas Island,2020-07-11,Danny Henry,Makwan Amirkhani,Makwan Amirkhani,180,-189,Makwan Amirkhani,favorite
UFC 251,Yas Island,2020-07-11,Leonardo Santos,Roman Bogatov,Leonardo Santos,-167,160,Leonardo Santos,favorite
UFC 251,Yas Island,2020-07-11,Marcin Tybura,Maxim Grishin,Marcin Tybura,-105,-102,Marcin Tybura,favorite
UFC 251,Yas Island,2020-07-11,Raulian Paiva,Zhalgas Zhumagulov,Raulian Paiva,-167,153,Raulian Paiva,favorite
UFC 251,Yas Island,2020-07-11,Vanessa Melo,Karol Rosa,Karol Rosa,211,-227,Karol Rosa,favorite
UFC 251,Yas Island,2020-07-11,Martin Day,Davey Grant,Davey Grant,-156,160,Martin Day,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Calvin Kattar,Dan Ige,Calvin Kattar,-263,250,Calvin Kattar,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Tim Elliott,Ryan Benoit,Tim Elliott,-125,125,Tim Elliott,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Jimmie Rivera,Cody Stamann,Jimmie Rivera,-125,120,Jimmie Rivera,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Molly McCann,Taila Santos,Taila Santos,-143,133,Molly McCann,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,-312,285,Abdul Razak Alhassan,underdog
UFC Fight Island 1,Yas Island,2020-07-15,John Phillips,Khamzat Chimaev,Khamzat Chimaev,309,-345,Khamzat Chimaev,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Ricardo Ramos,Lerone Murphy,Lerone Murphy,-149,147,Ricardo Ramos,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas,-164,155,Modestas Bukauskas,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Jared Gordon,Chris Fishgold,Jared Gordon,-141,135,Jared Gordon,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Liana Jojua,Diana Belbita,Liana Jojua,165,-175,Diana Belbita,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Jack Shore,Aaron Phillips,Jack Shore,-714,580,Jack Shore,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,-227,205,Deiveson Figueiredo,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Jack Hermansson,Kelvin Gastelum,Jack Hermansson,-102,100,Jack Hermansson,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Marc Diakiese,Rafael Fiziev,Rafael Fiziev,-175,186,Marc Diakiese,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Ariane da Silva,Luana Carolina,Ariane da Silva,-111,115,Ariane da Silva,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Alexandre Pantoja,Askar Askarov,Askar Askarov,-175,180,Alexandre Pantoja,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Khadis Ibragimov,Roman Dolidze,Roman Dolidze,145,-147,Roman Dolidze,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Grant Dawson,Nad Narimani,Grant Dawson,-278,263,Grant Dawson,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Joseph Duffy,Joel Alvarez,Joel Alvarez,-238,230,Joseph Duffy,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Brett Johns,Montel Jackson,Brett Johns,241,-250,Montel Jackson,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Amir Albazi,Malcolm Gordon,Amir Albazi,-132,134,Amir Albazi,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Davi Ramos,Arman Tsarukyan,Arman Tsarukyan,226,-222,Arman Tsarukyan,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Carlos Felipe,Sergey Spivak,Sergey Spivak,175,-175,Sergey Spivak,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Robert Whittaker,Darren Till,Robert Whittaker,-127,115,Robert Whittaker,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Mauricio Rua,Rogerio Nogueira,Mauricio Rua,-179,170,Mauricio Rua,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Alexander Gustafsson,Fabricio Werdum,Fabricio Werdum,-333,294,Alexander Gustafsson,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Marina Alcalde Rodriguez,Carla Esparza,Carla Esparza,-169,158,Marina Alcalde Rodriguez,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Paul Craig,Gadzhimurad Antigulov,Paul Craig,-125,118,Paul Craig,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Peter Sobotta,Alex Oliveira,Alex Oliveira,150,-156,Alex Oliveira,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Khamzat Chimaev,Rhys McKee,Khamzat Chimaev,-1111,900,Khamzat Chimaev,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Francisco Trinaldo,Jai Herbert,Francisco Trinaldo,-127,130,Francisco Trinaldo,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Nicolas Dalby,Jesse Ronson,Jesse Ronson,-233,225,Nicolas Dalby,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Jake Collier,Tom Aspinall,Tom Aspinall,206,-222,Tom Aspinall,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Mike Grundy,Movsar Evloev,Movsar Evloev,174,-179,Movsar Evloev,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Tanner Boser,Raphael Pessoa,Tanner Boser,-250,236,Tanner Boser,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Bethe Correia,Pannie Kianzad,Pannie Kianzad,143,-145,Pannie Kianzad,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Nathaniel Wood,John Castaneda,Nathaniel Wood,-417,362,Nathaniel Wood,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Ramazan Emeev,Niklas Stolze,Ramazan Emeev,-385,348,Ramazan Emeev,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Edmen Shahbazyan,Derek Brunson,Derek Brunson,-345,315,Edmen Shahbazyan,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Jennifer Maia,Joanne Wood,Jennifer Maia,180,-189,Joanne Wood,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Vicente Luque,Randy Brown,Vicente Luque,-185,180,Vicente Luque,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Lando Vannata,Bobby Green,Bobby Green,-132,135,Lando Vannata,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Jonathan Martinez,Frankie Saenz,Jonathan Martinez,-238,215,Jonathan Martinez,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Johnny Munoz,Nathan Maness,Nathan Maness,100,-108,Nathan Maness,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Jamall Emmers,Vince Cachero,Jamall Emmers,-455,415,Jamall Emmers,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Derrick Lewis,Aleksei Oleinik,Derrick Lewis,-192,180,Derrick Lewis,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Chris Weidman,Omari Akhmedov,Chris Weidman,-141,138,Chris Weidman,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Darren Stewart,Maki Pitolo,Darren Stewart,-175,169,Darren Stewart,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Yana Santos,Julija Stoliarenko,Yana Santos,-154,145,Yana Santos,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Beneil Dariush,Scott Holtzman,Beneil Dariush,-196,210,Beneil Dariush,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Laureano Staropoli,Tim Means,Tim Means,-143,140,Laureano Staropoli,underdog
UFC Vegas 6,Las Vegas,2020-08-08,Kevin Holland,Joaquin Buckley,Kevin Holland,-435,394,Kevin Holland,favorite
